NO;Tanggal;Kurs
530;6/26/2024 12:00:00 AM;16435
531;6/25/2024 12:00:00 AM;16379
532;6/24/2024 12:00:00 AM;16431
533;6/21/2024 12:00:00 AM;16458
534;6/20/2024 12:00:00 AM;16420
535;6/19/2024 12:00:00 AM;16368
536;6/14/2024 12:00:00 AM;16374
537;6/13/2024 12:00:00 AM;16286
538;6/12/2024 12:00:00 AM;16297
539;6/11/2024 12:00:00 AM;16295
540;6/10/2024 12:00:00 AM;16290
541;6/7/2024 12:00:00 AM;16218
542;6/6/2024 12:00:00 AM;16279
543;6/5/2024 12:00:00 AM;16282
544;6/4/2024 12:00:00 AM;16220
545;6/3/2024 12:00:00 AM;16225
546;5/31/2024 12:00:00 AM;16251
547;5/30/2024 12:00:00 AM;16253
548;5/29/2024 12:00:00 AM;16160
549;5/28/2024 12:00:00 AM;16095
550;5/27/2024 12:00:00 AM;16064
551;5/22/2024 12:00:00 AM;15995
552;5/21/2024 12:00:00 AM;16024
553;5/20/2024 12:00:00 AM;15980
554;5/17/2024 12:00:00 AM;15978
555;5/16/2024 12:00:00 AM;15944
556;5/15/2024 12:00:00 AM;16070
557;5/14/2024 12:00:00 AM;16131
558;5/13/2024 12:00:00 AM;16085
559;5/8/2024 12:00:00 AM;16081
560;5/7/2024 12:00:00 AM;16054
561;5/6/2024 12:00:00 AM;16025
562;5/3/2024 12:00:00 AM;16094
563;5/2/2024 12:00:00 AM;16202
564;4/30/2024 12:00:00 AM;16276
565;4/29/2024 12:00:00 AM;16249
566;4/26/2024 12:00:00 AM;16222
567;4/25/2024 12:00:00 AM;16208
568;4/24/2024 12:00:00 AM;16161
569;4/23/2024 12:00:00 AM;16244
570;4/22/2024 12:00:00 AM;16224
571;4/19/2024 12:00:00 AM;16280
572;4/18/2024 12:00:00 AM;16177
573;4/17/2024 12:00:00 AM;16240
574;4/16/2024 12:00:00 AM;16176
575;4/5/2024 12:00:00 AM;15873
576;4/4/2024 12:00:00 AM;15907
577;4/3/2024 12:00:00 AM;15923
578;4/2/2024 12:00:00 AM;15934
579;4/1/2024 12:00:00 AM;15909
580;3/28/2024 12:00:00 AM;15873
581;3/27/2024 12:00:00 AM;15853
582;3/26/2024 12:00:00 AM;15797
583;3/25/2024 12:00:00 AM;15795
584;3/22/2024 12:00:00 AM;15773
585;3/21/2024 12:00:00 AM;15662
586;3/20/2024 12:00:00 AM;15727
587;3/19/2024 12:00:00 AM;15712
588;3/18/2024 12:00:00 AM;15672
589;3/15/2024 12:00:00 AM;15624
590;3/14/2024 12:00:00 AM;15582
591;3/13/2024 12:00:00 AM;15576
592;3/8/2024 12:00:00 AM;15603
593;3/7/2024 12:00:00 AM;15658
594;3/6/2024 12:00:00 AM;15723
595;3/5/2024 12:00:00 AM;15756
596;3/4/2024 12:00:00 AM;15723
597;3/1/2024 12:00:00 AM;15696
598;2/29/2024 12:00:00 AM;15715
599;2/28/2024 12:00:00 AM;15673
600;2/27/2024 12:00:00 AM;15655
601;2/26/2024 12:00:00 AM;15635
602;2/23/2024 12:00:00 AM;15589
603;2/22/2024 12:00:00 AM;15630
604;2/21/2024 12:00:00 AM;15658
605;2/20/2024 12:00:00 AM;15659
606;2/19/2024 12:00:00 AM;15630
607;2/16/2024 12:00:00 AM;15654
608;2/15/2024 12:00:00 AM;15606
609;2/13/2024 12:00:00 AM;15585
610;2/12/2024 12:00:00 AM;15612
611;2/7/2024 12:00:00 AM;15685
612;2/6/2024 12:00:00 AM;15734
613;2/5/2024 12:00:00 AM;15705
614;2/2/2024 12:00:00 AM;15688
615;2/1/2024 12:00:00 AM;15775
616;1/31/2024 12:00:00 AM;15803
617;1/30/2024 12:00:00 AM;15796
618;1/29/2024 12:00:00 AM;15825
619;1/26/2024 12:00:00 AM;15829
620;1/25/2024 12:00:00 AM;15767
621;1/24/2024 12:00:00 AM;15719
622;1/23/2024 12:00:00 AM;15656
623;1/22/2024 12:00:00 AM;15627
624;1/19/2024 12:00:00 AM;15628
625;1/18/2024 12:00:00 AM;15630
626;1/17/2024 12:00:00 AM;15639
627;1/16/2024 12:00:00 AM;15592
628;1/15/2024 12:00:00 AM;15555
629;1/12/2024 12:00:00 AM;15559
630;1/11/2024 12:00:00 AM;15558
631;1/10/2024 12:00:00 AM;15568
632;1/9/2024 12:00:00 AM;15518
633;1/8/2024 12:00:00 AM;15522
634;1/5/2024 12:00:00 AM;15518
635;1/4/2024 12:00:00 AM;15525
636;1/3/2024 12:00:00 AM;15495
637;1/2/2024 12:00:00 AM;15473
638;12/29/2023 12:00:00 AM;15439
639;12/28/2023 12:00:00 AM;15416
640;12/27/2023 12:00:00 AM;15414
641;12/22/2023 12:00:00 AM;15489
642;12/21/2023 12:00:00 AM;15533
643;12/20/2023 12:00:00 AM;15512
644;12/19/2023 12:00:00 AM;15506
645;12/18/2023 12:00:00 AM;15516
646;12/15/2023 12:00:00 AM;15503
647;12/14/2023 12:00:00 AM;15493
648;12/13/2023 12:00:00 AM;15629
649;12/12/2023 12:00:00 AM;15631
650;12/11/2023 12:00:00 AM;15614
651;12/8/2023 12:00:00 AM;15500
652;12/7/2023 12:00:00 AM;15536
653;12/6/2023 12:00:00 AM;15504
654;12/5/2023 12:00:00 AM;15504
655;12/4/2023 12:00:00 AM;15446
656;12/1/2023 12:00:00 AM;15524
657;11/30/2023 12:00:00 AM;15484
658;11/29/2023 12:00:00 AM;15384
659;11/28/2023 12:00:00 AM;15450
660;11/27/2023 12:00:00 AM;15527
661;11/24/2023 12:00:00 AM;15587
662;11/23/2023 12:00:00 AM;15593
663;11/22/2023 12:00:00 AM;15584
